Inc: IA No,Inc: Incident type,Inc: Received date,OffSnp: Title/rank,Off: First name,Off: Last name,Alg: Allegation,Alg: Finding,Act: Action taken,Act: Days/hours suspended,Act: Action taken date,Inc: Occurred date
IAD2011-0049,Citizen complaint,01/30/2011,"Police Officer
Police Officer","Anthony B
Anthony B","Platt
Platt","Neg.Duty/Unreasonable Judge
Conduct Unbecoming","Unfounded
Not Sustained",,"0
0",,01/30/2011
IAD2011-0050,Citizen complaint,01/30/2011,Police Officer,Tabitha C.,Coleman,Respectful Treatment,Not Sustained,,,,01/16/2011
IAD2011-0051,Citizen complaint,01/31/2011,Detective,Marcelino,Cardoso,Conformance to Laws,Not Sustained,,,,09/12/2010
IAD2011-0052,Citizen complaint,01/31/2011,Sergeant Detective,John M,Brown,Use of Force,Unfounded,,,,01/26/2011
IAD2011-0053,Citizen complaint,01/31/2011,"Sergeant Detective
Sergeant Detective","Albert M
Albert M","Terestre
Terestre","Use of Force
Conduct Unbecoming","Not Sustained
Not Sustained",,"0
0",,01/04/2011
IAD2011-0065,Internal investigation,02/07/2011,"Police Officer
Police Officer","Kevin J.
Michael","McClay
O'Rourke","Neg.Duty/Unreasonable Judge
Neg.Duty/Unreasonable Judge","Unfounded
Not Sustained",,"0
0",,02/07/2011
IAD2011-0066,Citizen complaint,02/07/2011,"Detective
Detective
Detective","Charles M
Charles M
Charles M","Johnson
Johnson
Johnson","Conduct Unbecoming
Respectful Treatment
Self Identification","Unfounded
Sustained
Sustained","Oral Reprimand
Oral Reprimand
Oral Reprimand","0
0
0","05/31/2013
05/31/2013
05/31/2013",02/07/2011
IAD2011-0070,Citizen complaint,02/09/2011,Police Officer,Liam P.,Hawkins,Respectful Treatment,Sustained,Oral Reprimand,,01/12/2012,02/02/2011
IAD2011-0073,Citizen complaint,02/10/2011,"Police Officer
Police Officer","Gladys
Gladys","Frias
Frias","Neg.Duty/Unreasonable Judge
Neg.Duty/Unreasonable Judge","Sustained
Sustained","Suspension
Suspension","1
1","01/03/2013
01/03/2013",02/07/2011
IAD2011-0074,Citizen complaint,02/11/2011,"Police Officer
Police Officer
Police Officer
Police Officer","Joseph
Joseph
Darryl Vu
Darryl Vu","Hynes
Hynes
Tran
Tran","Self Identification
Respectful Treatment
Respectful Treatment
Self Identification","Not Sustained
Not Sustained
Not Sustained
Not Sustained",,"0
0
0
0",,02/11/2011
IAD2011-0077,Citizen complaint,02/11/2011,Police Officer,,Unknown,Respectful Treatment,Not Sustained,,,,02/11/2011
IAD2011-0078,Citizen complaint,02/14/2011,"Sergeant Detective
Detective","Sean M
Leah","Doherty
Creelman","Procedures for Handling Physical Eveidence and other Property coming into Police cusotdy
Procedures for Handling Physical Eveidence and other Property coming into Police cusotdy","Unfounded
Unfounded",,"0
0",,07/06/2009
IAD2011-0083,Citizen complaint,02/15/2011,"Police Officer
Police Officer
Police Officer
Police Officer","Joseph P
Joseph P
Joseph D.
Joseph D.","Matthews
Matthews
Mcdonough
Mcdonough","Neg.Duty/Unreasonable Judge
Neg.Duty/Unreasonable Judge Bias
Neg.Duty/Unreasonable Judge Bias
Neg.Duty/Unreasonable Judge","Exonerated
Unfounded
Unfounded
Exonerated",,"0
0
0
0",,03/31/2008
IAD2011-0084,Citizen complaint,02/15/2011,"Police Officer
Police Officer","Robert F
Robert F","Figueroa
Figueroa","Use of Force
Respectful Treatment","Unfounded
Unfounded",,"0
0",,09/21/2010
IAD2011-0085,Citizen complaint,02/15/2011,"Police Officer
Police Officer
Sergeant
Police Officer
Sergeant Detective
Police Officer
Police Officer
Police Officer
Police Officer
Police Officer","Dwain R
Dwain R
James L
Steven A.
Timothy M
Michael
Timothy J
Richard F
Richard P.
Mathew","Jackson
Jackson
Galvin
Dodd
Horan
Golden
Hancock
Mccormack
Mcneill
Wosny","Use of Force
Neg.Duty/Unreasonable Judge
Neg.Duty/Unreasonable Judge
Neg.Duty/Unreasonable Judge
Neg.Duty/Unreasonable Judge
Neg.Duty/Unreasonable Judge
Neg.Duty/Unreasonable Judge
Neg.Duty/Unreasonable Judge
Neg.Duty/Unreasonable Judge
Neg.Duty/Unreasonable Judge","Not Sustained
Exonerated
Exonerated
Exonerated
Exonerated
Exonerated
Exonerated
Exonerated
Exonerated
Exonerated",,"0
0
0
0
0
0
0
0
0
0",,02/15/2011
IAD2011-0086,Citizen complaint,02/16/2011,"Police Officer
Police Officer
Police Officer
Police Officer","Jerome V
Jerome V
Jerome V
Jerome V","Hebard
Hebard
Hebard
Hebard","Respectful Treatment
Self Identification
Patrol Officer Assigned to Dept Motor Vehicle
Neg.Duty/Unreasonable Judge","Not Sustained
Not Sustained
Not Sustained
Not Sustained",,"0
0
0
0",,02/06/2011
IAD2011-0087,Citizen complaint,02/16/2011,Police Officer,Reivilo,Degrave,Abuse of Process,Not Sustained,,,,02/16/2011
IAD2011-0088,Citizen complaint,02/16/2011,"Police Officer
Police Officer","Michael
Steven A.","Golden
Dodd","Respectful Treatment Bias
Respectful Treatment Bias","Unfounded
Not Sustained",,"0
0",,02/09/2011
IAD2011-0089,Citizen complaint,02/16/2011,"Sergeant
Police Officer","David L
Linda E","O'connor
Stanford-Scaglione","Respectful Treatment
Respectful Treatment","Not Sustained
Not Sustained",,"0
0",,02/04/2011
IAD2011-0093,Citizen complaint,02/17/2011,"Detective
Detective
Detective","Michael J
Michael J
Michael J","Doogan
Doogan
Doogan","Directives/Orders
Personal Business
Untruthfulness","Sustained
Unfounded
Sustained","Retired with Charges Pending
Retired with Charges Pending
Retired with Charges Pending","0
0
0","02/22/2019
02/22/2019
02/22/2019",02/17/2011
IAD2011-0100,Citizen complaint,02/22/2011,"Police Officer
Police Officer",,"Unknown
Unknown","Respectful Treatment
Self Identification","Not Sustained
Not Sustained",,"0
0",,02/19/2011
IAD2011-0101,Citizen complaint,02/22/2011,"Police Officer
Police Officer","Ismael
","Sosa
Unknown","Respectful Treatment
Neg.Duty/Unreasonable Judge","Not Sustained
Not Sustained",,"0
0",,02/22/2011
IAD2011-0102,Citizen complaint,02/22/2011,"Police Officer
Police Officer
Lieutenant","Roger T
Wilfredo
Stephen C","Burke
Coriano
Cawley","Neg.Duty/Unreasonable Judge
Neg.Duty/Unreasonable Judge
Neg.Duty/Unreasonable Judge","Exonerated
Exonerated
Exonerated",,"0
0
0",,02/22/2011
IAD2011-0103,Citizen complaint,02/26/2011,Sergeant Detective,Mark R,Handrahan,Respectful Treatment,Sustained,Oral Reprimand,,02/03/2015,02/26/2011
IAD2011-0105,Citizen complaint,03/02/2011,Police Officer,,Unknown,Respectful Treatment,Not Sustained,,,,08/01/2010
IAD2011-0106,Citizen complaint,03/02/2011,Police Officer,Undrey,Sanders,Respectful Treatment,Not Sustained,,,,02/23/2011
IAD2011-0107,Citizen complaint,03/02/2011,"Police Officer
Police Officer","Edward J.
John J","Macpherson
Bates","Neg.Duty/Unreasonable Judge
Neg.Duty/Unreasonable Judge","Exonerated
Exonerated",,"0
0",,01/15/2011
IAD2011-0108,Citizen complaint,03/02/2011,"Police Officer
Police Officer
Police Officer
Police Officer
Police Officer
Police Officer
Police Officer
Police Officer
Police Officer
Police Officer","Shana
Shana
Shana
Shana
Shana
Shana
Shana
Shana
Shana
Shana","Cottone
Cottone
Cottone
Cottone
Cottone
Cottone
Cottone
Cottone
Cottone
Cottone","Use of Force
Use of Force
Abuse of Process (2 counts)
Abuse of Process (2 counts)
Sick & Injured Persons
Sick & Injured Persons
Self Identification
Self Identification
Respectful Treatment (2 counts)
Respectful Treatment (2 counts)","Not Sustained
Not Sustained
Unfounded
Unfounded
Sustained
Sustained
Sustained
Sustained
Not Sustained
Not Sustained","Suspension/Settlement Agreement
Suspension held in abeyance
Suspension/Settlement Agreement
Suspension held in abeyance
Suspension/Settlement Agreement
Suspension held in abeyance
Suspension/Settlement Agreement
Suspension held in abeyance
Suspension/Settlement Agreement
Suspension held in abeyance","30
20
30
20
30
20
30
20
30
20","03/13/2017
03/13/2017
03/13/2017
03/13/2017
03/13/2017
03/13/2017
03/13/2017
03/13/2017
03/13/2017
03/13/2017",02/28/2011
IAD2011-0109,Citizen complaint,03/02/2011,"Police Officer
Police Officer","Frederick G
Frederick G","Marzano
Marzano","Use of Force
Neg.Duty/Unreasonable Judge","Not Sustained
Sustained","Written Reprimand/Settlement Agreement
Written Reprimand/Settlement Agreement","0
0","01/07/2013
01/07/2013",11/14/2008
IAD2011-0110,Citizen complaint,03/02/2011,Police Officer,Louis A,Vasquez,Respectful Treatment,Not Sustained,,,,02/10/2011
IAD2011-0112,Internal investigation,03/02/2011,Detective,Eliezer,Gonzalez,Conformance to Laws,Sustained,Resigned Charges Pending,,03/08/2011,
IAD2011-0115,Citizen complaint,03/02/2011,"Police Officer
Sergeant Detective","Paul T
Donald F","Quinn
KEENAN","Neg.Duty/Unreasonable Judge (2 counts)
Neg.Duty/Unreasonable Judge","Exonerated
Unfounded",,"0
0",,06/21/2010
IAD2011-0116,Internal investigation,12/22/2011,"Police Officer
Police Officer
Police Officer
Police Officer","Brenda
Brenda
Brenda
Brenda","James
James
James
James","Reporting for Duty
Return To Duty
Failure To Return To Duty
Directives/Orders","Sustained
Sustained
Sustained
Sustained","Suspension
Suspension
Suspension
Suspension","5
5
5
5","06/08/2012
06/08/2012
06/08/2012
06/08/2012",11/21/2011
IAD2011-0122,Citizen complaint,03/03/2011,"Police Officer
Police Officer","Richard P.
Richard P.","Mcneill
Mcneill","Respectful Treatment
Use of Force","Not Sustained
Exonerated",,"0
0",,01/27/2011
IAD2011-0124,Citizen complaint,03/04/2011,Police Officer,Robert C,Boyle,Respectful Treatment,Not Sustained,,,,12/07/2010
IAD2011-0128,Citizen complaint,03/08/2011,"Police Officer
Police Officer","Gerrard
Gerrard","Lett
Lett","Respectful Treatment
Neg.Duty/Unreasonable Judge","Not Sustained
Sustained","Oral Reprimand
Oral Reprimand","0
0","03/07/2011
03/07/2011",03/07/2011
IAD2011-0129,Citizen complaint,03/08/2011,"Police Officer
Police Officer
Police Officer","Francisco
Francisco
William J.","Colon
Colon
Samaras","Respectful Treatment
Use of Force
Use of Force","Sustained
Not Sustained
Not Sustained","Oral Reprimand
Oral Reprimand
","0
0
0","07/02/2012
07/02/2012
",03/05/2011
IAD2011-0130,Internal investigation,03/08/2011,"Sergeant
Sergeant","Ronald E
Ronald E","Pirrello
Pirrello","Conformance to Laws
Conduct Unbecoming","Not Sustained
Not Sustained",,"0
0",,11/03/2006
IAD2011-0133,Citizen complaint,03/10/2011,Police Officer,Edgar,Diaz,Cori Violation,Unfounded,,,,03/05/2011
IAD2011-0134,Citizen complaint,03/10/2011,"Police Officer
Police Officer","Edgar
Edgar","Diaz
Diaz","Conduct Unbecoming
Conformance to Laws","Sustained
Sustained","Retired with Charges Pending
Retired with Charges Pending","0
0","10/26/2012
10/26/2012",
IAD2011-0135,Internal investigation,03/11/2011,"Police Officer
Police Officer","Roland D
Roland D","Sandefur
Sandefur","Association with Criminals
Neg.Duty/Unreasonable Judge","Sustained
Sustained","Suspension
Suspension","1
1","03/01/2012
03/01/2012",03/04/2011
IAD2011-0136,Internal investigation,03/11/2011,"Police Officer
Police Officer
Police Officer
Police Officer","Edgar
Edgar
Edgar
Edgar","Diaz
Diaz
Diaz
Diaz","Department Reports-Inacurrate Reporting (8 counts)
Conformance to Laws (2 counts)
Conduct Unbecoming
Neg.Duty/Unreasonable Judge","Sustained
Sustained
Sustained
Sustained","Retired with Charges Pending
Retired with Charges Pending
Retired with Charges Pending
Retired with Charges Pending","0
0
0
0","10/26/2012
10/26/2012
10/26/2012
10/26/2012",03/10/2011
IAD2011-0138,Citizen complaint,03/13/2011,Police Officer,Adam A.,Mammone,Conduct Unbecoming,Exonerated,,,,03/13/2011
IAD2011-0139,Citizen complaint,03/14/2011,Sergeant,Sean,Martin,Use of Force,Not Sustained,,,,03/13/2011
IAD2011-0140,Internal investigation,03/14/2011,"Police Officer
Police Officer
Police Officer
Police Officer
Police Officer
Police Officer
Police Officer
Police Officer
Police Officer
Police Officer
Police Officer
Police Officer","Dennis I
Dennis I
Dennis I
Dennis I
Dennis I
Dennis I
Dennis I
Dennis I
Dennis I
Dennis I
Dennis I
Dennis I","Morson
Morson
Morson
Morson
Morson
Morson
Morson
Morson
Morson
Morson
Morson
Morson","Conformance to Laws
Conformance to Laws
Conformance to Laws
Conformance to Laws
Conformance to Laws
Conformance to Laws
Conformance to Laws
Conformance to Laws
Alcohol off Duty
Alcohol off Duty
Substance Abuse Policy
Substance Abuse Policy","Unfounded
Unfounded
Not Sustained
Not Sustained
Not Sustained
Not Sustained
Sustained
Sustained
Sustained
Sustained
Unfounded
Unfounded","Suspension/Settlement Agreement
Suspension held in abeyance
Suspension/Settlement Agreement
Suspension held in abeyance
Suspension/Settlement Agreement
Suspension held in abeyance
Suspension/Settlement Agreement
Suspension held in abeyance
Suspension/Settlement Agreement
Suspension held in abeyance
Suspension/Settlement Agreement
Suspension held in abeyance","45
30
45
30
45
30
45
30
45
30
45
30","12/22/2011
12/22/2011
12/22/2011
12/22/2011
12/22/2011
12/22/2011
12/22/2011
12/22/2011
12/22/2011
12/22/2011
12/22/2011
12/22/2011",02/19/2011
IAD2011-0142,Citizen complaint,03/15/2011,Police Officer,Robert R.,Robichaud,Use of Force,Not Sustained,,,,06/05/2010
IAD2011-0143,Citizen complaint,03/17/2011,Lieutenant,James R,Tarantino,Evidence & Found Property,Not Sustained,,,,10/07/2007
IAD2011-0146,Citizen complaint,03/18/2011,"Police Officer
Police Officer
Police Officer","Vincent P.
Vincent P.
","Stancato
Stancato
Unknown","Use of Force
Neg.Duty/Unreasonable Judge
Booking Procedures","Exonerated
Exonerated
Not Sustained",,"0
0
0",,03/01/2007
IAD2011-0147,Citizen complaint,03/18/2011,"Police Officer
Detective
Police Officer
Detective","Robert A
William F
Stephen","Unknown
Griffin
Traft
Rioux","Use of Force
Use of Force
Use of Force
Use of Force","Unfounded
Unfounded
Unfounded
Unfounded",,"0
0
0
0",,09/16/2010
IAD2011-0149,Citizen complaint,03/18/2011,Police Officer,William F,Traft,Neg.Duty/Unreasonable Judge,Withdrawn,,,,03/18/2011
IAD2011-0150,Citizen complaint,03/18/2011,"Police Officer
Police Officer","Elvin
Elvin","Aviles
Aviles","Respectful Treatment
Neg.Duty/Unreasonable Judge","Not Sustained
Exonerated",,"0
0",,03/18/2011
IAD2011-0151,Citizen complaint,03/21/2011,Police Officer,Jahad,Hasan,Use of Force,Exonerated,,,,03/20/2011
IAD2011-0153,Citizen complaint,03/22/2011,Police Officer,Jose M,Teixeira,Respectful Treatment,Unfounded,,,,03/16/2011
IAD2011-0154,Citizen complaint,03/22/2011,Police Officer,Daniel A,Fitzgerald,Neg.Duty/Unreasonable Judge,Not Sustained,,,,03/21/2011
IAD2011-0155,Citizen complaint,03/22/2011,"Sergeant Detective
Sergeant Detective","Michael J
Michael J","Stratton
Stratton","Use of Force
Abuse of Process","Unfounded
Exonerated",,"0
0",,01/05/2008
IAD2011-0156,Citizen complaint,03/22/2011,"Police Officer
Police Officer","Darrell
Darrell","Vinson
Vinson","Use of Force
Alcohol on Duty","Not Sustained
Not Sustained",,"0
0",,03/17/2011
IAD2011-0157,Citizen complaint,03/23/2011,"Police Officer
Police Officer
Police Officer
Police Officer
Police Officer
Police Officer
Sergeant Detective
Sergeant Detective","Richard L
Richard L


Dario E.
Dario E.
Joseph A
Joseph A","Medina
Medina
Unknown
Unknown
Fancelli
Fancelli
Gallarelli
Gallarelli","Use of Force
Respectful Treatment
Use of Force
Respectful Treatment
Use of Force
Respectful Treatment
Respectful Treatment
Use of Force","Not Sustained
Not Sustained
Not Sustained
Not Sustained
Not Sustained
Not Sustained
Not Sustained
Not Sustained",,"0
0
0
0
0
0
0
0",,01/12/2009
IAD2011-0158,Citizen complaint,03/23/2011,Detective,Steven ,Blair,Information Dept. Members May Not Release,Exonerated,,,,12/21/2010
IAD2011-0159,Citizen complaint,03/23/2011,"Detective
Police Officer","Rodney O
Miguelangelo R","Best
Pires","Neg.Duty/Unreasonable Judge
Neg.Duty/Unreasonable Judge","Not Sustained
Not Sustained",,"0
0",,10/07/2010
IAD2011-0160,Citizen complaint,03/25/2011,"Police Officer
Police Officer
Police Officer
Police Officer
Police Officer
Police Officer
Police Officer","John M.
John M.
John M.
Christopher
Christopher
Christopher
Lucia","Noberini
Noberini
Noberini
Mylett
Mylett
Mylett
Palomares","Use of Force
Use of Force
Respectful Treatment
Use of Force
Respectful Treatment
Use of Force
Respectful Treatment","Exonerated
Not Sustained
Not Sustained
Exonerated
Not Sustained
Not Sustained
Not Sustained",,"0
0
0
0
0
0
0",,03/22/2011
IAD2011-0161,Citizen complaint,03/25/2011,"Detective
Detective
Detective
Detective
Detective
Detective
Detective
Detective
Lieutenantenant Detective","Kevin Michael
Kevin Michael
Kevin Michael
Kevin Michael
Kevin Michael
Kevin Michael
Hubert G
David G
Brian J","Magoon
Magoon
Magoon
Magoon
Magoon
Magoon
Valmond
Hyslip
Larkin","Respectful Treatment
Respectful Treatment
Neg.Duty/Unreasonable Judge
Neg.Duty/Unreasonable Judge
Situations Involving Family & Frien
Situations Involving Family & Frien
Manner of Recording Complaints
Manner of Recording Complaints
Manner of Recording Complaints","Not Sustained
Not Sustained
Sustained
Sustained
Unfounded
Unfounded
Not Sustained
Not Sustained
Not Sustained","Suspension
Suspension/Rescinded
Suspension
Suspension/Rescinded
Suspension
Suspension/Rescinded


","1
1
1
1
1
1
0
0
0","06/14/2013
05/09/2014
06/14/2013
05/09/2014
06/14/2013
05/09/2014


",03/18/2011
IAD2011-0162,Citizen complaint,03/25/2011,Police Officer,,Unknown,Respectful Treatment,Not Sustained,,,,03/24/2011
IAD2011-0163,Citizen complaint,03/29/2011,Police Officer,George J,Crowley,Neg.Duty/Unreasonable Judge,Not Sustained,,,,03/29/2011
IAD2011-0164,Citizen complaint,03/29/2011,Police Officer,Joel,Rodriguez,Respectful Treatment,Not Sustained,,,,03/29/2011
IAD2011-0165,Citizen complaint,03/30/2011,"Police Officer
Police Officer","Jeffrey
Jeffrey","Cahill
Cahill","Use of Force
Respectful Treatment","Exonerated
Unfounded",,"0
0",,03/30/2011
IAD2011-0166,Citizen complaint,03/30/2011,"Sergeant Detective
Police Officer
Police Officer","Donald F
Kevin
Stephen W","KEENAN
Mcelmoyle
Green","Use of Force
Use of Force
Use of Force","Exonerated
Exonerated
Exonerated",,"0
0
0",,03/15/2011
IAD2011-0170,Citizen complaint,03/31/2011,Police Officer,Anthony B,Platt,Conduct Unbecoming,Not Sustained,Counselling,,02/01/2012,
IAD2011-0171,Citizen complaint,04/01/2011,"Police Officer
Police Officer","David J
David J","Clemons Sr.
Clemons Sr.","Use of Force
Respectful Treatment","Not Sustained
Not Sustained",,"0
0",,03/29/2011
IAD2011-0177,Citizen complaint,04/07/2011,Police Officer,Michael J,Mcmanus,Respectful Treatment,Not Sustained,,,,04/07/2011
IAD2011-0178,Citizen complaint,04/07/2011,"Sergeant Detective
Sergeant Detective","Thomas J.
Thomas J.","O'leary
O'leary","Neg.Duty/Unreasonable Judge
Abuse of Process","Not Sustained
Not Sustained",,"0
0",,09/24/2003
IAD2011-0179,Citizen complaint,04/07/2011,"Police Officer
Police Officer","Brian D.
Brian D.","McGrail
McGrail","Respectful Treatment
Use of Force","Unfounded
Exonerated",,"0
0",,
IAD2011-0180,Citizen complaint,04/11/2011,Detective,William R,Hasson,Respectful Treatment,Not Sustained,,,,04/06/2011
IAD2011-0182,Citizen complaint,04/12/2011,"Police Officer
Police Officer
Police Officer
Police Officer","Joseph
Joseph
James H
James H","Abasciano
Abasciano
O'Brien
O'Brien","Use of Force
Neg.Duty/Unreasonable Judge
Use of Force
Neg.Duty/Unreasonable Judge","Not Sustained
Exonerated
Not Sustained
Exonerated",,"0
0
0
0",,03/31/2011
IAD2011-0184,Citizen complaint,04/13/2011,"Sergeant Detective
Sergeant Detective","Karl T
Karl T","Strother
Strother","Respectful Treatment
Neg.Duty/Unreasonable Judge","Not Sustained
Not Sustained",,"0
0",,03/21/2011
IAD2011-0186,Citizen complaint,04/13/2011,"Police Officer
Police Officer",,"Unknown
Unknown","Abuse of Process
Respectful Treatment","Not Sustained
Not Sustained",,"0
0",,
IAD2011-0189,Citizen complaint,04/14/2011,Police Officer,Edgar,Diaz,Abuse of Process,Not Sustained,,,,03/21/2011
IAD2011-0190,Citizen complaint,04/14/2011,"Sergeant
Sergeant","Daniel M
Daniel M","Humphreys
Humphreys","Neg.Duty/Unreasonable Judge
Use of Force","Exonerated
Exonerated",,"0
0",,04/14/2011
IAD2011-0191,Citizen complaint,04/18/2011,Detective,John G,Maloof,Conduct Unbecoming,Unfounded,,,,
IAD2011-0194,Internal investigation,04/21/2011,Police Officer,Daphney,Orion,Conformance to Laws,Unfounded,,,,04/21/2011
IAD2011-0195,Internal investigation,04/22/2011,"Sergeant Detective
Sergeant Detective","Elton M.
Elton M.","Grice
Grice","Neg.Duty/Unreasonable Judge
Reporting for Duty","Sustained
Sustained","Suspension
Suspension","3
3","04/21/2011
04/21/2011",04/21/2011
IAD2011-0196,Internal investigation,04/22/2011,"Lieutenant
Lieutenant
Lieutenant
Lieutenant
Lieutenant","Stephen C
Stephen C
Stephen C
Stephen C
Stephen C","Cawley
Cawley
Cawley
Cawley
Cawley","Quid Pro Quo
Conduct Unbecoming
Neg.Duty/Unreasonable Judge
Neg.Duty/Unreasonable Judge
Hostile Work Environment","Sustained
Sustained
Sustained
Sustained
Sustained","Reinstated
Reinstated
Reinstated
Reinstated
Reinstated","0
0
0
0
0","05/17/2012
05/17/2012
05/17/2012
05/17/2012
05/17/2012",
IAD2011-0197,Citizen complaint,04/22/2011,"Police Officer
Sergeant","William F
David","Dunne
Kiley","Use of Force
Use of Force","Exonerated
Exonerated",,"0
0",,04/16/2011
IAD2011-0202,Citizen complaint,04/27/2011,"Police Officer
Police Officer","Luis
Jeremiah J","Lopez
O'brien","Neg.Duty/Unreasonable Judge
Neg.Duty/Unreasonable Judge","Not Sustained
Not Sustained",,"0
0",,04/27/2011
IAD2011-0203,Citizen complaint,04/27/2011,"Police Officer
Police Officer","Domingo R
Domingo R","Montiero
Montiero","Respectful Treatment
Neg.Duty/Unreasonable Judge","Not Sustained
Sustained","Retired
Retired","0
0","06/24/2024
06/24/2024",
IAD2011-0209,Internal investigation,04/29/2011,Police Officer,David C.,Williams,Neg.Duty/Unreasonable Judge,Filed,,,,03/14/2011
IAD2011-0211,Citizen complaint,05/02/2011,"Police Officer
Police Officer
Police Officer","Michael P.
Michael P.
Michael P.","McDonagh
McDonagh
McDonagh","Abuse of Process
Respectful Treatment
Use of Force","Unfounded
Not Sustained
Not Sustained",,"0
0
0",,04/28/2011
IAD2011-0213,Citizen complaint,05/03/2011,Police Officer,Ryan H.,Manning,Respectful Treatment,Unfounded,,,,04/27/2011
IAD2011-0214,Citizen complaint,05/04/2011,"Police Officer
Police Officer","Steven G
Steven G","Parham
Parham","Respectful Treatment
Use of Force","Unfounded
Unfounded",,"0
0",,04/17/2011
IAD2011-0215,Citizen complaint,05/04/2011,Police Officer,,Unknown,Respectful Treatment,Not Sustained,,,,05/04/2011
IAD2011-0224,Citizen complaint,05/05/2011,Police Officer,,Unknown,Respectful Treatment,Not Sustained,,,,04/06/2011
IAD2011-0225,Citizen complaint,05/05/2011,Detective,Robert M,Tully,Respectful Treatment,Not Sustained,,,,04/16/2011
IAD2011-0226,Citizen complaint,05/05/2011,"Police Officer
Police Officer
Sergeant
Sergeant","Jeffrey W
Jeffrey
John P
John P","Lynch
Cahill
Doris
Doris","Neg.Duty/Unreasonable Judge
Neg.Duty/Unreasonable Judge
Neg.Duty/Unreasonable Judge
Use of Force","Exonerated
Exonerated
Exonerated
Unfounded",,"0
0
0
0",,05/17/2008
